name,sourcefile,cloneof,year,manufacturer,status
grandprx,itgambl3.cpp,,200?,4fun,preliminary
granny,byvid.cpp,,1984,Bally,preliminary
granslam,by35.cpp,,1983,Bally,preliminary
granslam4,by35.cpp,granslam,1983,Bally,preliminary
grasspin,blueprnt.cpp,,1983,Zilec Electronics / Jaleco,imperfect
gratia,ms32.cpp,,1996,Jaleco,imperfect
gratiaa,ms32.cpp,gratia,1996,Jaleco,imperfect
gravitar,bwidow.cpp,,1982,Atari,good
gravitar1,bwidow.cpp,gravitar,1982,Atari,good
gravitar2,bwidow.cpp,gravitar,1982,Atari,good
grchamp,grchamp.cpp,,1981,Taito,imperfect
grdforce,stv.cpp,,1998,Success,imperfect
grdian,slapfght.cpp,,1986,Toaplan / Taito America Corporation (Kitkorp license),good
grdians,seta2.cpp,,1995,Winkysoft (Banpresto license),imperfect
grdnstrm,nmk16.cpp,,1998,Afega (Apples Industries license),good
grdnstrmg,nmk16.cpp,grdnstrm,1998,Afega,good
grdnstrmj,nmk16.cpp,grdnstrm,1998,Afega,good
grdnstrmk,nmk16.cpp,grdnstrm,1998,Afega,good
grdnstrmv,nmk16.cpp,grdnstrm,1998,Afega (Apples Industries license),good
greatgun,mazerbla.cpp,,1983,Stern Electronics,preliminary
greatgur,gladiatr.cpp,gladiatr,1986,Allumer / Taito Corporation,good
greenber,m10.cpp,,1980,Irem,preliminary
grescue,8080bw.cpp,lrescue,1979,Taito (Universal license?),imperfect
grfd2301,grfd2301.cpp,,198?,Genrad,preliminary
grgar_l1,s6.cpp,,1979,Williams,preliminary
grgar_t1,s6.cpp,grgar_l1,1979,Williams,preliminary
gridiron,tehkanwc.cpp,,1985,Tehkan,good
gridlee,gridlee.cpp,,1983,Videa,imperfect
griffon,phoenix.cpp,phoenix,1980,bootleg (Videotron),good
grindstm,toaplan2.cpp,,1992,Toaplan,good
grindstma,toaplan2.cpp,grindstm,1992,Toaplan,good
grmatch,itech8.cpp,,1989,Yankee Game Technology,good
grndtour,iqblock.cpp,,1993,IGS,good
grobda,mappy.cpp,,1984,Namco,good
grobda2,mappy.cpp,grobda,1984,Namco,good
grobda3,mappy.cpp,grobda,1984,Namco,good
groovef,stv.cpp,,1998,Atlus,imperfect
groundfx,groundfx.cpp,,1992,Taito Corporation,good
growl,taito_f2.cpp,,1990,Taito Corporation Japan,good
growla,taito_f2.cpp,growl,1990,Taito Corporation Japan,good
growlp,taito_f2.cpp,growl,1990,Taito Corporation Japan,good
growlu,taito_f2.cpp,growl,1990,Taito America Corporation,good
grtesoro,gaelco2.cpp,,1999,Nova Desitec,preliminary
grtesoro4,gaelco2.cpp,grtesoro,1999,Nova Desitec,preliminary
grudge,balsente.cpp,,198?,Bally Midway,good
gryzor,contra.cpp,contra,1987,Konami,good
gryzor1,contra.cpp,contra,1987,Konami,good
gs4002,gei.cpp,,1982,Greyhound Electronics,imperfect
gs4002a,gei.cpp,gs4002,1982,Greyhound Electronics,imperfect
gs_l3,s11c.cpp,gs_l4,1990,Bally,preliminary
gs_l4,s11c.cpp,,1990,Bally,preliminary
gseeker,taito_f3.cpp,,1992,Taito Corporation Japan,good
gseekerj,taito_f3.cpp,gseeker,1992,Taito Corporation,good
gseekeru,taito_f3.cpp,gseeker,1992,Taito America Corporation,good
gsfc200,msx.cpp,,1983,Goldstar,good
gsfc80u,msx.cpp,,1984,Goldstar,good
gslgr94j,namconb1.cpp,gslgr94u,1994,Namco,imperfect
gslgr94u,namconb1.cpp,,1994,Namco,imperfect
gslugrsj,namconb1.cpp,,1993,Namco,imperfect
gstream,gstream.cpp,,2002,Oriental Soft Japan,good
gstrik2,metro.cpp,,1996,Human Amusement,imperfect
gstrik2j,metro.cpp,gstrik2,1996,Human Amusement,imperfect
gstriker,gstriker.cpp,,1993,Human,preliminary
gstrikera,gstriker.cpp,gstriker,1993,Human,preliminary
gstrikerj,gstriker.cpp,gstriker,1993,Human,preliminary
gsword,gsword.cpp,,1984,Allumer / Taito Corporation,good
gsword2,gsword.cpp,gsword,1984,Allumer / Taito Corporation,good
gt103a1,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gt103aa,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gt103ab,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gt103asx,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gt2k,itech32.cpp,,2000,Incredible Technologies,good
gt2kp100,itech32.cpp,gt2k,2000,Incredible Technologies,good
gt2ks100,itech32.cpp,gt2k,2000,Incredible Technologies,good
gt2kt500,itech32.cpp,gt2k,2000,Incredible Technologies,good
gt3d,itech32.cpp,,1995,Incredible Technologies,good
gt3dl19,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dl191,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dl192,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3ds192,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dt211,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dt231,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dv14,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dv15,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dv16,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dv17,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt3dv18,itech32.cpp,gt3d,1995,Incredible Technologies,good
gt507uk,gei.cpp,,1986,Grayhound Electronics,imperfect
gt97,itech32.cpp,,1997,Incredible Technologies,good
gt97s121,itech32.cpp,gt97,1997,Incredible Technologies,good
gt97t240,itech32.cpp,gt97,1997,Incredible Technologies,good
gt97t243,itech32.cpp,gt97,1997,Incredible Technologies,good
gt97v120,itech32.cpp,gt97,1997,Incredible Technologies,good
gt97v121,itech32.cpp,gt97,1997,Incredible Technologies,good
gt97v122,itech32.cpp,gt97,1997,Incredible Technologies,good
gt98,itech32.cpp,,1998,Incredible Technologies,good
gt98s100,itech32.cpp,gt98,1998,Incredible Technologies,good
gt98t303,itech32.cpp,gt98,1998,Incredible Technologies,good
gt98v100,itech32.cpp,gt98,1998,Incredible Technologies,good
gt99,itech32.cpp,,1999,Incredible Technologies,good
gt99s100,itech32.cpp,gt99,1999,Incredible Technologies,good
gt99t400,itech32.cpp,gt99,1999,Incredible Technologies,good
gtclassc,itech32.cpp,,2001,Incredible Technologies,good
gtclasscp,itech32.cpp,gtclassc,2001,Incredible Technologies,good
gtclasscs,itech32.cpp,gtclassc,2001,Incredible Technologies,good
gtdiamond,itech32.cpp,gt98,1998,Incredible Technologies,good
gteikob2,galaxian.cpp,uniwars,1980,bootleg,good
gteikokb,galaxian.cpp,uniwars,1980,bootleg,good
gteikoku,galaxian.cpp,uniwars,1980,Irem,good
gtfore01,iteagle.cpp,,2000,Incredible Technologies,good
gtfore02,iteagle.cpp,,2001,Incredible Technologies,good
gtfore03,iteagle.cpp,,2002,Incredible Technologies,good
gtfore03a,iteagle.cpp,gtfore03,2002,Incredible Technologies,good
gtfore04,iteagle.cpp,,2003,Incredible Technologies,good
gtfore04a,iteagle.cpp,gtfore04,2003,Incredible Technologies,good
gtfore05,iteagle.cpp,,2004,Incredible Technologies,good
gtfore05a,iteagle.cpp,gtfore05,2004,Incredible Technologies,good
gtfore05b,iteagle.cpp,gtfore05,2004,Incredible Technologies,good
gtfore05c,iteagle.cpp,gtfore05,2004,Incredible Technologies,good
gtfore06,iteagle.cpp,,2005,Incredible Technologies,good
gtfrk10m,ksys573.cpp,,2003,Konami,preliminary
gtfrk10ma,ksys573.cpp,gtfrk10m,2003,Konami,preliminary
gtfrk10mb,ksys573.cpp,gtfrk10m,2003,Konami,preliminary
gtfrk11m,ksys573.cpp,,2004,Konami,preliminary
gtfrk3ma,ksys573.cpp,gtrfrk3m,2000,Konami,preliminary
gtfrk3mb,ksys573.cpp,gtrfrk3m,2000,Konami,preliminary
gtg,itech8.cpp,,1990,Strata/Incredible Technologies,good
gtg2,itech8.cpp,,1992,Strata/Incredible Technologies,good
gtg2j,itech8.cpp,gtg2,1991,Strata/Incredible Technologies,good
gtg2t,itech8.cpp,gtg2,1989,Strata/Incredible Technologies,good
gtgt,itech8.cpp,gtg,1989,Strata/Incredible Technologies,good
gtgt1,itech8.cpp,gtg,1989,Strata/Incredible Technologies,good
gticlub,gticlub.cpp,,1996,Konami,imperfect
gticlub2,viper.cpp,,2001,Konami,preliminary
gticlub2ea,viper.cpp,gticlub2,2001,Konami,preliminary
gticluba,gticlub.cpp,gticlub,1996,Konami,imperfect
gticlubj,gticlub.cpp,gticlub,1996,Konami,imperfect
gticlubu,gticlub.cpp,gticlub,1996,Konami,imperfect
gtipoker,norautp.cpp,,1983,GTI Inc,preliminary
gtipokra,norautp.cpp,,1983,GTI Inc,preliminary
gtmr,kaneko16.cpp,,1994,Kaneko,good
gtmr2,kaneko16.cpp,,1995,Kaneko,good
gtmr2a,kaneko16.cpp,gtmr2,1995,Kaneko,good
gtmr2u,kaneko16.cpp,gtmr2,1995,Kaneko,good
gtmra,kaneko16.cpp,gtmr,1994,Kaneko,good
gtmre,kaneko16.cpp,gtmr,1994,Kaneko,good
gtmrusa,kaneko16.cpp,gtmr,1994,Kaneko,good
gtrfrk2m,ksys573.cpp,,1999,Konami,imperfect
gtrfrk3m,ksys573.cpp,,2000,Konami,preliminary
gtrfrk4m,ksys573.cpp,,2000,Konami,preliminary
gtrfrk5m,ksys573.cpp,,2001,Konami,preliminary
gtrfrk6m,ksys573.cpp,,2001,Konami,preliminary
gtrfrk7m,ksys573.cpp,,2001,Konami,preliminary
gtrfrk8m,ksys573.cpp,,2002,Konami,preliminary
gtrfrk8ma,ksys573.cpp,gtrfrk8m,2002,Konami,preliminary
gtrfrk9m,ksys573.cpp,,2003,Konami,preliminary
gtrfrks,ksys573.cpp,,1999,Konami,imperfect
gtrfrksa,ksys573.cpp,gtrfrks,1999,Konami,imperfect
gtrfrksj,ksys573.cpp,gtrfrks,1999,Konami,imperfect
gtrfrksu,ksys573.cpp,gtrfrks,1999,Konami,imperfect
gtroppo,aristmk4.cpp,,1986,Ainsworth Nominees P.L.,good
gtroyal,itech32.cpp,gt99,1999,Incredible Technologies,good
gts1,gts1.cpp,,1977,Gottlieb,good
gts1s,gts1.cpp,,1979,Gottlieb,good
gtsers1,gei.cpp,,1984,Greyhound Electronics,imperfect
gtsers10,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gtsers11,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gtsers11a,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gtsers12,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gtsers14,gei.cpp,gtsers8,1986,Greyhound Electronics,imperfect
gtsers15,gei.cpp,gtsers8,1986,Greyhound Electronics,imperfect
gtsers2,gei.cpp,gtsers1,1984,Greyhound Electronics,imperfect
gtsers3,gei.cpp,gtsers1,1984,Greyhound Electronics,imperfect
gtsers4,gei.cpp,gtsers1,1984,Greyhound Electronics,imperfect
gtsers5,gei.cpp,gtsers1,1984,Greyhound Electronics,imperfect
gtsers7,gei.cpp,gtsers1,1984,Greyhound Electronics,imperfect
gtsers8,gei.cpp,,1984,Greyhound Electronics,imperfect
gtsers8a,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gtsers9,gei.cpp,gtsers8,1984,Greyhound Electronics,imperfect
gtsersa,gei.cpp,gtsers1,1984,Greyhound Electronics,imperfect
gtsersb,gei.cpp,gtsers1,1984,Greyhound Electronics,imperfect
gtsupreme,itech32.cpp,gt2k,2002,Incredible Technologies,good
guab,guab.cpp,,1986,JPM,good
guardian,atarig42.cpp,,1992,Atari Games,good
guiness,strnskil.cpp,strnskil,1984,Sun Electronics,good
gulfstrm,dooyong.cpp,,1991,Dooyong,good
gulfstrma,dooyong.cpp,gulfstrm,1991,Dooyong,good
gulfstrmb,dooyong.cpp,gulfstrm,1991,Dooyong,good
gulfstrmm,dooyong.cpp,gulfstrm,1991,Dooyong (Media Shoji license),good
gulfwar2,twincobr.cpp,,1991,Comad,good
gulfwar2a,twincobr.cpp,gulfwar2,1991,Comad,good
gumbo,gumbo.cpp,,1994,Min Corp.,good
gunbalina,namcos10.cpp,ptblank3,2000,Namco,preliminary
gunball,rohga.cpp,nitrobal,1992,Data East Corporation,good
gunbarl,namcos12.cpp,ptblank2,1999,Namco,imperfect
gunbird,psikyo.cpp,,1994,Psikyo,good
gunbird2,psikyosh.cpp,,1998,Psikyo,good
gunbirdj,psikyo.cpp,gunbird,1994,Psikyo,good
gunbirdk,psikyo.cpp,gunbird,1994,Psikyo,good
gunblade,model2.cpp,,1995,Sega,preliminary
gunbuletj,namconb1.cpp,ptblank,1994,Namco,imperfect
gunbuletw,namconb1.cpp,ptblank,1994,Namco,imperfect
gunbustr,gunbustr.cpp,,1992,Taito Corporation Japan,good
gunbustrj,gunbustr.cpp,gunbustr,1992,Taito Corporation,good
gunbustru,gunbustr.cpp,gunbustr,1992,Taito America Corporation,good
gunchamp,8080bw.cpp,,1980,Model Racing,preliminary
gunchamps,sshot.cpp,gunchamp,1980,Model Racing,preliminary
gundamex,seta2.cpp,,1994,Banpresto,good
gundamos,chihiro.cpp,,2005,Banpresto,preliminary
gundealr,gundealr.cpp,,1990,Dooyong,good
gundealra,gundealr.cpp,gundealr,1990,Dooyong,good
gundealrt,gundealr.cpp,gundealr,1990,Dooyong (Tecmo license),good
gundhara,seta.cpp,,1995,Banpresto,good
gundharac,seta.cpp,gundhara,1995,Banpresto,good
gundl94,dooyong.cpp,,1994,Dooyong,good
gundmct,naomi.cpp,,2001,Banpresto / Capcom,preliminary
gundmgd,naomi.cpp,,2001,Capcom / Banpresto,preliminary
gundmxgd,naomi.cpp,,2001,Capcom,preliminary
gundzaft,namcops2.cpp,,2005,Capcom / Banpresto,preliminary
gunfight,mw8080bw.cpp,,1975,Dave Nutting Associates / Midway,imperfect
gunfighto,mw8080bw.cpp,gunfight,1975,Dave Nutting Associates / Midway,imperfect
gunforc2,m92.cpp,,1994,Irem,good
gunforce,m92.cpp,,1991,Irem,good
gunforcej,m92.cpp,gunforce,1991,Irem,good
gunforceu,m92.cpp,gunforce,1991,Irem America,good
gunfront,taito_f2.cpp,,1990,Taito Corporation Japan,good
gunfrontj,taito_f2.cpp,gunfront,1990,Taito Corporation,good
gunhard,deco32.cpp,lockload,1994,Data East Corporation,preliminary
gunhohki,m92.cpp,mysticri,1992,Irem,good
gunlock,taito_f3.cpp,,1993,Taito Corporation Japan,good
gunman,taitottl.cpp,,1977,Taito,preliminary
gunmania,ksys573.cpp,,2000,Konami,preliminary
gunmast,metro.cpp,,1994,Metro,good
gunnail,nmk16.cpp,,1993,NMK / Tecmo,good
